Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.08.31 01:05:00;Buy Stop;0.01;XAUUSD;4 694.88;4 501.22;4 710.22;2026.08.31 21:05:00;4 432.41;;;;cancelled
2026.08.28 16:00:00;Buy Stop;0.01;XAUUSD;4 696.02;4 656.25;4 721.65;2026.08.31 04:00:00;4 456.66;;;;cancelled
2026.08.13 01:05:01;Sell Stop;0.01;XAUUSD;3 961.83;3 977.13;3 889.72;2026.08.31 02:00:00;4 461.64;;;;cancelled
2026.08.28 11:15:00;Buy Stop;0.01;XAUUSD;4 694.96;4 601.28;4 710.87;2026.08.31 01:05:01;4 446.36;;;;cancelled
2026.08.28 10:15:00;Sell Stop;0.01;XAUUSD;3 945.92;4 086.08;3 912.60;2026.08.31 01:05:01;4 445.42;;;;cancelled
2026.08.26 13:15:00;Sell Stop;0.01;XAUUSD;4 326.34;4 366.60;4 300.39;2026.08.31 01:05:01;4 445.67;;;;cancelled
2026.08.19 17:00:00;Buy Stop;0.02;XAUUSD;4 887.24;4 865.15;4 977.79;2026.08.31 01:05:01;4 446.36;;;;cancelled
2026.08.28 17:05:00;Buy Stop;0.01;XAUUSD;4 694.88;4 501.48;4 710.20;2026.08.31 01:05:00;4 445.97;;;;cancelled
2026.08.28 17:05:15;Sell;0.01;XAUUSD;4 566.52;4 565.99;4 541.59;2026.08.28 17:08:10;4 566.17;-0.18;;0.35;[sl]
2026.08.28 17:05:15;Sell;0.01;XAUUSD;4 565.26;4 563.85;4 550.69;2026.08.28 17:06:34;4 549.96;-0.18;;15.30;[tp]
2026.08.27 21:05:00;Buy Stop;0.01;XAUUSD;4 694.85;4 498.89;4 710.37;2026.08.28 17:05:00;4 578.31;;;;cancelled
2026.08.26 04:00:00;Buy Stop;0.01;XAUUSD;4 696.01;4 655.75;4 721.96;2026.08.28 16:00:00;4 601.97;;;;cancelled
2026.08.20 14:00:00;Sell Stop;0.01;XAUUSD;4 326.46;4 348.13;4 193.71;2026.08.28 14:00:00;4 600.00;;;;cancelled
2026.08.27 05:00:01;Buy Stop;0.01;XAUUSD;4 694.93;4 600.01;4 711.05;2026.08.28 11:15:00;4 612.01;;;;cancelled
2026.08.26 23:15:00;Sell Stop;0.01;XAUUSD;3 945.96;4 087.87;3 912.23;2026.08.28 10:15:00;4 600.33;;;;cancelled
2026.08.27 01:05:00;Buy Stop;0.01;XAUUSD;4 694.85;4 498.89;4 710.37;2026.08.27 21:05:00;4 603.36;;;;cancelled
2026.08.26 13:10:00;Sell Stop;0.01;XAUUSD;4 326.56;4 522.36;4 311.05;2026.08.27 09:10:00;4 604.68;;;;cancelled
2026.08.25 23:00:00;Buy Stop;0.01;XAUUSD;4 694.95;4 600.92;4 710.92;2026.08.27 05:00:00;4 641.05;;;;cancelled
2026.08.26 05:00:00;Buy Stop;0.01;XAUUSD;4 694.85;4 499.05;4 710.36;2026.08.27 01:05:00;4 603.90;;;;cancelled
2026.08.25 12:15:00;Sell Stop;0.01;XAUUSD;3 945.93;4 086.61;3 912.49;2026.08.26 23:15:00;4 591.78;;;;cancelled
2026.08.26 16:16:00;Sell;0.01;XAUUSD;4 606.73;4 701.61;4 590.89;2026.08.26 16:30:00;4 611.69;-0.18;;-4.96;
2026.08.25 07:15:00;Sell Stop;0.01;XAUUSD;4 325.70;4 419.73;4 309.73;2026.08.26 13:15:00;4 619.02;;;;cancelled
2026.08.24 01:05:02;Sell Stop;0.01;XAUUSD;4 326.27;4 365.40;4 301.05;2026.08.26 13:15:00;4 619.07;;;;cancelled
2026.08.25 17:10:00;Sell Stop;0.01;XAUUSD;4 326.54;4 520.65;4 311.16;2026.08.26 13:10:00;4 622.07;;;;cancelled
2026.08.17 18:00:00;Sell Stop;0.01;XAUUSD;4 313.54;4 335.30;4 180.27;2026.08.25 18:00:00;4 636.03;;;;cancelled
2026.08.24 21:10:00;Sell Stop;0.01;XAUUSD;4 326.48;4 516.76;4 311.41;2026.08.25 17:10:00;4 623.24;;;;cancelled
2026.08.24 01:05:00;Sell Stop;0.01;XAUUSD;3 945.86;4 083.77;3 913.08;2026.08.25 12:15:00;4 630.59;;;;cancelled
2026.08.24 01:05:01;Sell Stop;0.01;XAUUSD;4 325.66;4 417.83;4 310.01;2026.08.25 07:15:00;4 637.19;;;;cancelled
2026.08.24 01:05:01;Sell Stop;0.01;XAUUSD;4 326.48;4 516.76;4 311.41;2026.08.24 21:10:00;4 632.20;;;;cancelled
2026.08.21 07:15:00;Sell Stop;0.01;XAUUSD;4 325.66;4 417.82;4 310.01;2026.08.24 01:05:01;4 610.46;;;;cancelled
2026.08.20 05:00:00;Sell Stop;0.01;XAUUSD;4 326.17;4 363.68;4 302.00;2026.08.24 01:05:01;4 610.52;;;;cancelled
2026.08.19 21:00:00;Sell Stop;0.01;XAUUSD;4 313.28;4 351.51;4 288.65;2026.08.24 01:05:01;4 610.52;;;;cancelled
2026.08.21 22:00:01;Sell Stop;0.01;XAUUSD;4 326.48;4 516.74;4 311.41;2026.08.24 01:05:00;4 609.92;;;;cancelled
2026.08.21 10:15:00;Sell Stop;0.01;XAUUSD;3 945.86;4 083.75;3 913.08;2026.08.24 01:05:00;4 609.54;;;;cancelled
2026.08.21 02:00:00;Sell Stop;0.01;XAUUSD;4 326.48;4 516.74;4 311.41;2026.08.21 22:00:00;4 624.40;;;;cancelled
2026.08.19 23:15:00;Sell Stop;0.01;XAUUSD;3 945.77;4 080.49;3 913.75;2026.08.21 10:15:00;4 561.68;;;;cancelled
2026.08.20 01:05:00;Sell Stop;0.01;XAUUSD;4 325.58;4 413.94;4 310.58;2026.08.21 07:15:00;4 540.26;;;;cancelled
2026.08.20 06:00:00;Sell Stop;0.01;XAUUSD;4 326.37;4 508.79;4 311.92;2026.08.21 02:00:00;4 524.11;;;;cancelled
2026.08.19 17:00:00;Sell Stop;0.01;XAUUSD;4 312.69;4 402.73;4 297.40;2026.08.20 23:00:00;4 528.34;;;;cancelled
2026.08.19 22:00:00;Sell Stop;0.01;XAUUSD;4 313.49;4 499.38;4 298.77;2026.08.20 18:00:00;4 516.05;;;;cancelled
2026.08.13 01:05:00;Sell Stop;0.01;XAUUSD;4 021.62;4 043.47;3 887.78;2026.08.20 14:00:00;4 490.10;;;;cancelled
2026.08.19 15:56:32;Buy;0.01;XAUUSD;4 435.80;4 486.68;4 570.47;2026.08.20 04:53:48;4 485.92;-0.18;-1.80;50.12;[sl]
2026.08.19 16:12:32;Buy;0.01;XAUUSD;4 448.31;4 486.70;4 583.50;2026.08.20 04:53:48;4 485.98;-0.18;-1.80;37.67;[sl]
2026.08.18 12:15:00;Sell Stop;0.01;XAUUSD;3 945.75;4 079.39;3 913.98;2026.08.19 23:15:00;4 506.93;;;;cancelled
