Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.09.02 12:29:08;Buy;0.01;XAUUSD;4308.72;0.01;2026.09.02 12:30:06;4309.54;-0.08;;0.82
2026.08.31 11:15:04;Buy;0.01;XAUUSD;4439.11;0.01;2026.08.31 11:19:20;4439.63;-0.08;;0.52
2026.08.28 03:05:29;Sell;0.01;XAUUSD;4596.43;0.01;2026.08.28 03:18:29;4593.92;-0.08;;2.51
2026.08.28 02:47:05;Sell;0.01;XAUUSD;4597.3;0.01;2026.08.28 02:51:28;4595.7;-0.08;;1.6
2026.08.27 18:44:03;Sell;0.01;XAUUSD;4602.26;0.01;2026.08.27 18:44:37;4601.4;-0.08;;0.86
2026.08.24 20:29:16;Sell;0.01;XAUUSD;4641.6;0.01;2026.08.24 20:30:19;4638.52;-0.08;;3.08
2026.08.19 22:53:59;Sell;0.01;XAUUSD;4508.92;0.01;2026.08.19 23:15:56;4506.7;-0.08;;2.22
2026.08.19 18:50:03;Sell;0.01;XAUUSD;4490.17;0.01;2026.08.19 20:25:16;4488.92;-0.08;;1.25
2026.08.18 10:37:21;Buy;0.01;XAUUSD;4400.22;0.01;2026.08.18 10:44:08;4401.04;-0.08;;0.82
2026.08.18 09:37:01;Buy;0.01;XAUUSD;4397.13;0.01;2026.08.18 09:48:37;4397.71;-0.08;;0.58
2026.08.17 21:34:00;Buy;0.01;XAUUSD;4399.71;0.01;2026.08.17 21:38:33;4401.93;-0.08;;2.22
2026.08.14 09:12:03;Buy;0.01;XAUUSD;4332.07;0.01;2026.08.14 09:15:16;4332.92;-0.08;;0.85
2026.08.12 17:00:17;Sell;0.01;XAUUSD;4426.96;0.01;2026.08.12 17:02:36;4421.93;-0.08;;5.03
2026.08.11 20:06:24;Sell;0.01;XAUUSD;4382.15;0.01;2026.08.11 20:16:50;4380.99;-0.08;;1.16
2026.08.11 13:50:18;Buy;0.01;XAUUSD;4381.44;0.01;2026.08.11 13:55:54;4380.15;-0.08;;-1.29
2026.08.10 22:32:00;Sell;0.01;XAUUSD;4388.73;0.01;2026.08.10 22:34:39;4386.65;-0.08;;2.08
2026.08.06 20:22:39;Sell;0.01;XAUUSD;4238.68;0.01;2026.08.06 22:27:19;4237.52;-0.08;;1.16
2026.08.06 16:45:10;Sell;0.01;XAUUSD;4269.15;0.01;2026.08.06 16:49:04;4267.54;-0.08;;1.6099999999999999
2026.08.05 21:25:06;Sell;0.01;XAUUSD;4263.19;0.01;2026.08.05 21:31:02;4262.36;-0.08;;0.83
2026.08.05 20:31:05;Sell;0.01;XAUUSD;4242.68;0.01;2026.08.05 20:31:37;4241.26;-0.08;;1.42
2026.08.05 18:28:05;Sell;0.01;XAUUSD;4259.76;0.01;2026.08.05 18:35:37;4255.89;-0.08;;3.87
2026.07.31 04:17:00;Buy;0.01;XAUUSD;4089.14;0.01;2026.08.04 16:24:08;4089.19;-0.08;-1.09;0.05
2026.07.30 10:18:00;Sell;0.01;XAUUSD;4049.07;0.01;2026.07.30 10:22:02;4045.94;-0.08;;3.13
2026.07.29 22:35:02;Buy;0.01;XAUUSD;4074.27;0.01;2026.07.30 01:37:22;4076.85;-0.08;-1.69;2.58
2026.07.24 22:50:19;Sell;0.01;XAUUSD;4053.83;0.01;2026.07.27 17:17:28;4076.8;-0.08;0.37;-22.97
2026.07.24 20:56:17;Buy;0.01;XAUUSD;4064.47;0.01;2026.07.27 01:05:39;4090.18;-0.08;-0.54;25.71
2026.07.23 20:41:58;Buy;0.01;XAUUSD;4044.87;0.01;2026.07.23 21:31:00;4046.86;-0.08;;1.99
2026.07.22 10:59:00;Buy;0.01;XAUUSD;4109.72;0.01;2026.07.22 11:31:00;4117.88;-0.08;;8.16
2026.07.21 16:33:00;Buy;0.01;XAUUSD;4054.31;0.01;2026.07.21 17:10:00;4055.22;-0.08;;0.91
2026.07.21 09:51:00;Sell;0.01;XAUUSD;4080;0.01;2026.07.21 09:59:00;4079.35;-0.08;;0.65
2026.07.17 22:48:59;Sell;0.01;XAUUSD;4009.64;0.01;2026.07.17 22:51:52;4013.53;-0.08;;-3.89
2026.07.17 20:01:23;Buy;0.01;XAUUSD;4018.23;0.01;2026.07.17 22:48:58;4009.78;-0.08;;-8.45
2026.07.17 19:42:16;Buy;0.01;XAUUSD;4016.09;0.01;2026.07.17 19:54:02;4016.9;-0.08;;0.81
2026.07.17 18:21:09;Buy;0.01;XAUUSD;4008.29;0.01;2026.07.17 18:33:33;4010.93;-0.08;;2.64
